,title,star_count,review_count,attributes,address,hours,menu,phone,website,city,state,pictures
10,Sweet Evalina's Stand,4.5,180 Google reviews,"['$', 'Pizza restaurant']","688 CT-169, Woodstock, CT 06281","{'Tuesday': 'Closed', 'Wednesday': '9AM–8PM', 'Thursday': '9AM–8PM', 'Friday': '9AM–9PM', 'Saturday': '9AM–9PM', 'Sunday': '9AM–8PM', 'Monday': 'Closed'}",/search?q=sweet+evalina%27s+stand+phone&ludocid=15486221111129619515&sa=X&ved=2ahUKEwiegcXCpIbuAhVBFFkFHdTLAawQ6BMwCXoECAkQAg,(860) 928-4029,http://www.sweetevalinas.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipOH6FCCh2gT34-7JMBlvc1_k2D0GmyjmQaVxAox=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMizEMRs28iKk_nCCE5fixtEtzwjwI3C-jFlzKC=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNED_XXM0LPrPG6bVXTKlTVJiFwJfhoy7ahqrzC=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPkt02_WQhY9dnwPcnHyLXFPmq6yPxHUiNh7uNH=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPhrPAW8VSQK8JYVemGq6b_fsqC8R3D0STH_2IJ=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP8ME37BP4ap_6yu1azu0miPxzipl0eINvy4pL9=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMyOl0Qxmnzwfk5hCrPIW-NA6pPJ7_ivDAPBEW9=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP4J2epodPql8H8JLbrQKOtzW4ufPsZ67gPNxZt=s812-k-no']"
11,The Crossings Restaurant & Brew Pub,4.2,653 Google reviews,"['$$', 'Restaurant']","45 S Main St, Putnam, CT 06260","{'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': '12–9PM', 'Friday': '12–9:30PM', 'Saturday': '12–9:30PM', 'Sunday': '12–9PM', 'Monday': '12–9PM'}",http://crossingsbrewpub.com/menu,(860) 928-3663,http://www.crossingsbrewpub.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipO70Hdn4BAgO9i5osDs53bW2wFlHoOs4xQxCxhg=s800-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMVzjVvH_OWQH3y0sjCYIjFi5cZv6cofxqMH8jr=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOlzL8H4jnwq52BiIO_c67rTh_WgF_3ClASE6ro=s1354-k-no']"
12,Bill's Bread & Breakfast,4.5,499 Google reviews,"['$', 'Breakfast restaurant']","149 Providence St, Putnam, CT 06260","{'Tuesday': '6AM–2PM', 'Wednesday': '6AM–2PM', 'Thursday': '6AM–2PM', 'Friday': '6AM–2PM', 'Saturday': '6AM–1PM', 'Sunday': '7AM–1PM', 'Monday': '6AM–2PM'}",,(860) 928-9777,http://billsbreakfast.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipN7RnFdz_ruuRiVSsAVZY7YLb7nani7Dn2e27r_=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOp2RwT0FQjnqjH8q0QJ9K3_FXeCueecRe4SzpQ=s1354-k-no']"
13,The Dubliner,4.5,91 Google reviews,['Restaurant'],"165 Hartford Pike, Dayville, CT 06241","{'Tuesday': '10AM–3PM', 'Wednesday': '10AM–3PM', 'Thursday': '10AM–3PM', 'Friday': '10AM–3PM', 'Saturday': '10AM–3PM', 'Sunday': 'Closed', 'Monday': '10AM–3PM'}",,(860) 779-3795,https://www.dublinerct.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipMeci0b0HiClkghNe9MYXcyLDl3I769EsHH2_gV=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN28Ofzu2Mt9Nb6_Rr6EfsQWjTyCukhtDS-4QAl=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO_TqPQCEUsEJHJlnZs2ir4LaqmDvEUcgJX0yjR=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNGBOgBD-q5UZusuvj44DLzaPCODVF0fe7B_MDH=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO0afRpnWAGQ9YwAyyJ-ZO8MP_I2a3ukpyG_0a6=s1031-k-no']"
14,Java Jive Cafe,4.4,54 Google reviews,['Breakfast restaurant'],"283 CT-169, South Woodstock, CT 06267","{'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': '7AM–2PM', 'Saturday': '8AM–2PM', 'Sunday': '8AM–2PM', 'Monday': 'Closed'}",,(860) 963-1241,http://javajivecafe.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipOzu35h1tM5DCnH4dEqMnw6_3bOKwie21RxtNqm=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP4kmjX6yetyUX8exss4pUrFi4exDCJQWkm7N31=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipODPOZmz8icDD-zZiRQ1CGIZdQA_tc3copZAQJf=s676-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMrA07zWB9lBXZvoDYQeYL5HyLOQ0cfmvQp6Amt=s812-k-no']"
15,Courthouse Bar and Grille,4.3,580 Google reviews,"['$$', 'Bar & grill']","121 Main Street, Putnam, CT 06260","{'Tuesday': '11:30AM–9:30PM', 'Wednesday': '11:30AM–9:30PM', 'Thursday': '11:30AM–10PM', 'Friday': '11:30AM–11PM', 'Saturday': '11:30AM–11PM', 'Sunday': '11:30AM–9:30PM', 'Monday': '11:30AM–9:30PM'}",,(860) 963-0074,http://www.courthousebarandgrille.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipP-qlb-26_k1uKeaiGX9L-W_uj4iEKug5mHxwQF=s1165-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOODHKNXzl6xiYxtHPIF_nrCXLY7h8G_zcqA3MI=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM5TjDjQR-_2WzmLXZQctUsuTiDpxzuJm4cHPEb=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMWv-Z_bpD7TSPWtJYl6VWaOBVPMGhNygI7VlYH=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNCeGMvZXYgvCokzpB3I31Ko9x9VM69t40d2Jsc=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPCPtSIZ2592BaYvG_raAOpkWbm36RlSqxwmyBe=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO3bYJDsivXfMpoHGOR00mAD0G70IHS8k7HZXXL=s872-k-no', 'https://lh5.googleusercontent.com/p/AF1QipONmJRLVrFhZub8pwQo-4gNwdsBwKhzMImbPxXm=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPYF9iIBxmQfx0oBSJDfCq-af9R_yFVnrWUIFEV=s1024-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNqLdgUvDIo1re8h_kbMMbD5ybGz5Qu8XV-uUgi=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMhEds-h23dp7-C4MlHc_Ic_PciqrXmy6g-RoGo=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNUm3rFI4w8jNSEchAGDWR66cx5Tmw5HpcPWptN=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMN7tVq1_4BzBMZzE9RPxOset0vkVcC1lw8TsRg=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMPqUdTGjGXc_mQghPQrN2CIaiutm8PsADZdpEp=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOMeKyngFk_liY5hGeSX1gf4rRmktacIYjOZMkG=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO8FTx70Bo3ifZTxOXAogzhW7fympFIxrcZNpC-=s812-k-no']"
16,Thai Place,4.4,177 Google reviews,"['$$', 'Thai restaurant']","241 Kennedy Dr, Putnam, CT 06260","{'Tuesday': '11AM–9PM', 'Wednesday': '11AM–9PM', 'Thursday': '11AM–9PM', 'Friday': '11AM–9PM', 'Saturday': '12–9PM', 'Sunday': '12–9PM', 'Monday': '11AM–9PM'}",/search?q=thai+place+putnam+phone&ludocid=11114999112507410223&sa=X&ved=2ahUKEwjm35WfpYbuAhXdF1kFHf0mB7cQ6BMwC3oECAIQAg,(860) 963-7770,http://thaiplacect.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipMaGaTpIwM8lpjgaN6O8IW-VgkdeyEadyI0Irs=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN4WbcS9UsIx-swrELw5SAOB6lh1jaECL1r2kLg=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP9CAn5iuZtz9Elb2SfAxXZghosSpmhXTBUdZ90=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM4-_Ci8iGYxujUJkj2awPlh87CCrApsHcfTBrK=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMAqOJfgKmfM6huRmXx-DF95wTew2gvK1DL7xCk=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMvc9M-TXF-oOPX8IUW0rqvJ0kyOvClzgeF25ER=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN9PmTDZGj4WqPkUVJFpv4ncqbqQ_q9SH3257uh=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMIoWsFnED6-guYnDs-8RQdVfHkMIgsqTSHNQNc=s901-k-no']"
17,China Star,4.3,160 Google reviews,"['$', 'Chinese restaurant']","205 Kennedy Dr, Putnam, CT 06260","{'Tuesday': '11AM–9:30PM', 'Wednesday': '11AM–9:30PM', 'Thursday': '11AM–9:30PM', 'Friday': '11AM–10:30PM', 'Saturday': '11AM–10:30PM', 'Sunday': '12–9:30PM', 'Monday': '11AM–9:30PM'}",,(860) 928-1688,http://www.chinastarputnam.com/,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipNsgYaaA6TPusjpSnR7Jrw7OWnPOnRe8uW_kM3G=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNZ2ZCeMCazIUGHkn8QtQH3rzFNM_3PvmQQu_lR=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMJ5oEeRfOziyPrDwrkFQzejVZsrFMEejzyffbM=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPyDg7X75jkqsiqcUlr7_NMBpJs7JEeHvsVO2Ex=s773-k-no']"
18,Gut Bustas,4.8,221 Google reviews,"['$', 'American restaurant']","915 N Main St, Danielson, CT 06239","{'Tuesday': 'Closed', 'Wednesday': '10AM–6PM', 'Thursday': '10AM–6PM', 'Friday': '10AM–6PM', 'Saturday': '10AM–6PM', 'Sunday': '10AM–4PM', 'Monday': 'Closed'}",,(860) 933-8615,http://www.facebook.com/GutBustas,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipMzIcx-U8H9BMcJgwLYlgSwuUUOJusHSWNSWTUA=s894-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMFmUvaedl1qUu0z2aBuxYzGZynjolHgpYn9FvG=s960-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNc2qwIAZAYr1eWHZk1MBZxb3fxPhZ-qnnRFcSj=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP8i_kLo1l6c6tUYs5k6utf3pAXsMlpC-g_0ZiE=s960-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOOWDnu1JyP0BM0I-FwgX9sRGprEXruZiF5OGRp=s960-k-no']"
19,Classic Pizza & Family Restaurant,4.6,365 Google reviews,"['$', 'Pizza restaurant']","597 Providence Rd, Brooklyn, CT 06234","{'Tuesday': '11AM–9:30PM', 'Wednesday': '11AM–9:30PM', 'Thursday': '11AM–9:30PM', 'Friday': '11AM–9:30PM', 'Saturday': '11AM–9:30PM', 'Sunday': '11AM–9:30PM', 'Monday': '11AM–9:30PM'}",http://classicpizzact.net/gluten-free-menu/2887698,(860) 774-6333,http://classicpizzact.net/,Abington,Connecticut,['https://lh5.googleusercontent.com/p/AF1QipOZHvYsTJpCHDySmTYLV3ZtADX5Uf3EDX3rtv92=s773-k-no']
20,Zips Diner,4.5,"1,108 Google reviews","['$', 'Diner']","Rte 101 and 12, Dayville, CT 06241","{'Tuesday': '6AM–9PM', 'Wednesday': '6AM–9PM', 'Thursday': '6AM–9PM', 'Friday': '6AM–9PM', 'Saturday': '6AM–9PM', 'Sunday': '6AM–9PM', 'Monday': '6AM–9PM'}",,(860) 774-6335,,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPJwZSsnMERATaOayeaZuVF1mKpV2UkbBtHu3c=s670-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMld5AxQw9RrH1gYF-xwCZ9VraZmGPDkB5ln3U=s449-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPv1Qp9wQmKDxx9-nmaGe0r_fUlMnGLCHPdZyY=s670-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPEBwGrUMSStdJhDedh27KcR6CWpH1OZF_Gjyk=s593-k-no']"
21,,,,,,,,,,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPJwZSsnMERATaOayeaZuVF1mKpV2UkbBtHu3c=s670-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMld5AxQw9RrH1gYF-xwCZ9VraZmGPDkB5ln3U=s449-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPv1Qp9wQmKDxx9-nmaGe0r_fUlMnGLCHPdZyY=s670-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPEBwGrUMSStdJhDedh27KcR6CWpH1OZF_Gjyk=s593-k-no']"
22,,,,,,,,,,Abington,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPJwZSsnMERATaOayeaZuVF1mKpV2UkbBtHu3c=s670-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMld5AxQw9RrH1gYF-xwCZ9VraZmGPDkB5ln3U=s449-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPv1Qp9wQmKDxx9-nmaGe0r_fUlMnGLCHPdZyY=s670-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPEBwGrUMSStdJhDedh27KcR6CWpH1OZF_Gjyk=s593-k-no']"
23,"Georgia's Restaurant & Pizza, LLC",4.6,177 Google reviews,"['$$', 'Pizza restaurant']","291 Church St, Amston, CT 06231","{'Tuesday': '11AM–8PM', 'Wednesday': '11AM–8PM', 'Thursday': '11AM–8PM', 'Friday': '11AM–9PM', 'Saturday': '8AM–9PM', 'Sunday': '8AM–8PM', 'Monday': '11AM–8PM'}",/search?q=georgia%E2%80%99s+restaurant+and+pizza+phone&ludocid=11716213067758888532&sa=X&ved=2ahUKEwjE6-aPpobuAhX7GFkFHX5FDmwQ6BMwCHoECA0QAg,(860) 228-3164,http://georgiaspizzahebronct.com/,Amston,Connecticut,"['https://lh5.googleusercontent.com/p/AF1QipPrWMVDMZNuH4G86uACxKWrSP7f6PQmWSXw5jzJ=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMQGiAoudwCeSGoxcawH7hqfmjahy1oiwPIyOZp=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO1ivIw0lwSP7ZNY_L686DZgKDm_ulqQRM3mP6r=s960-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMuMFr2eXZqKZf3JQ2Gutw_G1r-w8rdjUuk5fA5=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPVsIqY-8ywSC8LByBYZtl5zEmVsPhhZqZhbuTa=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM_HR31K6U49MeFkS5HRAg54ChArOSh34cZKeAG=s812-k-no']"
